W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
63,Завтрак на траве,Le Déjeuner sur l’herbe - left panel,Le Déjeuner sur l'herbe,1865–66,418 × 150,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w63.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_D%C3%A9jeuner_sur_l'herbe%2C_partie_gauche.jpg,https://www.wikidata.org/wiki/Q1167912,https://monet.1vasiliadi.com/#w63
63a,"Завтрак на траве, левая часть","Luncheon on the Grass, Left Panel","Le Déjeuner sur l'herbe, Partie gauche",1866,418 × 150,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w63a.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_D%C3%A9jeuner_sur_l'herbe%2C_partie_gauche.jpg,https://www.wikidata.org/wiki/Q17492904,https://monet.1vasiliadi.com/#w63a
63b,"Завтрак на траве, центральная часть","Luncheon on the Grass, Central Panel","Le Déjeuner sur l'herbe, partie centrale",1866,248.7 × 218,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w63b.webp,https://commons.wikimedia.org/wiki/File:Le_D%C3%A9jeuner_sur_l'herbe_-_Monet_(Middle_fragment%2C_Mus%C3%A9e_d'Orsay).jpg,https://www.wikidata.org/wiki/Q141420094,https://monet.1vasiliadi.com/#w63b
64,Камилла с собачкой,Camille with a Small Dog,Camille au petit chien,1866,73 × 54,частная коллекция,,,Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w64.webp,https://commons.wikimedia.org/wiki/File:Monet_w64.jpg,,https://monet.1vasiliadi.com/#w64
65,Камилла в зелёном платье,Camille (also known as The Woman in a Green Dress),La Femme en robe verte,1866,231 × 151,музей,"Кунстхалле, Бремен",Kunsthalle Bremen,Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w65.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Camille.JPG,https://www.wikidata.org/wiki/Q829572,https://monet.1vasiliadi.com/#w65
66,Камилла (реплика),Camille (Replica),Camille en robe verte,1866,81 × 55,музей,"Национальный художественный музей Румынии, Бухарест","National Museum of Art of Romania, Bucharest",Румыния,Romania,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w66.webp,https://commons.wikimedia.org/wiki/File:Camille_in_the_Green_Dress_(1866)_Claude_Monet_-_Muzeul_Na%C8%9Bional_de_Art%C4%83_al_Rom%C3%A2niei_(W66).jpg,https://www.wikidata.org/wiki/Q68372817,https://monet.1vasiliadi.com/#w66
67,Женщины в саду,Women in the Garden,Femmes au jardin,1866,256 × 208,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w67.webp,https://commons.wikimedia.org/wiki/File:Frauen_im_Garten_-_Claude_Monet_-_Paris_1863_%E2%80%93_1874-_Revolution_in_der_Kunst-4703.jpg,https://www.wikidata.org/wiki/Q2734892,https://monet.1vasiliadi.com/#w67
68,Дама в саду Сент-Адресс,Woman in the Garden,La Dame en blanc au jardin,1867,80 × 99,музей,"Эрмитаж, Санкт-Петербург","Hermitage Museum, St Petersburg",Россия,Russia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w68.webp,https://commons.wikimedia.org/wiki/File:Monet-Lady_in_the_Garden.jpg,https://www.wikidata.org/wiki/Q681876,https://monet.1vasiliadi.com/#w68
68a,Адольф Моне в саду Ле-Кото в Сент-Адрессе,Adolphe Monet in the Garden of Le Coteau at Sainte-Adresse,Adolphe Monet lisant dans un jardin,1867,81 × 99,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w68a.webp,https://commons.wikimedia.org/wiki/File:Monet-Lady_in_the_Garden.jpg,https://www.wikidata.org/wiki/Q50807664,https://monet.1vasiliadi.com/#w68a
69,Цветущий сад,Garden in Flower,"Jardin en fleurs, à Sainte-Adresse",1866,65 × 54,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w69.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_007.jpg,https://www.wikidata.org/wiki/Q17491735,https://monet.1vasiliadi.com/#w69
70,Ваза с персиками,Jar of Peaches,Bocal de pêches,1866,55.5 × 46,музей,Государственные художественные собрания Дрездена,Staatliche Kunstsammlungen Dresden,Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w70.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Jar_of_Peaches_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q18683988,https://monet.1vasiliadi.com/#w70
71,Морской пейзаж. Ночь,"Seascape, Night Effect","Paysage marin, effet de nuit",1866,59.5 × 72.5,музей,"Шотландская национальная галерея, Эдинбург","Scottish National Gallery, Edinburgh",Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w71.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_A_Seascape%2C_Shipping_by_Moonlight_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q18683374,https://monet.1vasiliadi.com/#w71
72,Морской пейзаж,Seascape,"Marine, Le Havre",1866,42 × 59.5,музей,"Ордрупгор, Копенгаген","Ordrupgaard, Copenhagen",Дания,Denmark,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w72.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Marine%2C_Le_Havre_-_Ordrupgaard.jpg,https://www.wikidata.org/wiki/Q66254514,https://monet.1vasiliadi.com/#w72
73,Зеленая волна,The Green Wave,La Vague verte,1866,49 × 65,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w73.webp,https://commons.wikimedia.org/wiki/File:The_Green_Wave_MET_DT1896.jpg,https://www.wikidata.org/wiki/Q19911668,https://monet.1vasiliadi.com/#w73
74,Рыбацкие лодки. Онфлёр,"Fishing Boats, Honfleur","Bateaux de pêche, Honfleur",1867,38 × 46,музей,"Национальный художественный музей Румынии, Бухарест","National Museum of Art of Romania, Bucharest",Румыния,Romania,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w74.webp,https://commons.wikimedia.org/wiki/File:Monet_Bateaux_de_p%C3%AAche%2C_Honfleur_w74.jpg,https://www.wikidata.org/wiki/Q68372814,https://monet.1vasiliadi.com/#w74
75,Парусники в Онфлёре,Sailing Boats at Honfleur,Bateaux à Honfleur,1866,55 × 46,частная коллекция,,,Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w75.webp,https://commons.wikimedia.org/wiki/File:Monet_w75.jpg,,https://monet.1vasiliadi.com/#w75
76,Рыбацкие лодки (этюд),Fishing Boats (study),Barques de pêche,1866,45 × 55,частная коллекция,,,,,2023,цветная фотография,https://monet.1vasiliadi.com/img/1600/w76.webp,https://commons.wikimedia.org/wiki/File:Barques_de_p%C3%AAche_(1866)_de_Claude_Monet_(W76).jpg,,https://monet.1vasiliadi.com/#w76
77,Порт Онфлёра,Port of Honfleur,Le Port de Honfleur,1867,148 × 226,уничтожена,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w77.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_77.png,,https://monet.1vasiliadi.com/#w77
77a,Лодки в порту Онфлёра,Boats in the Port of Honfleur,Bateaux dans le port de Honfleur,1866,49 × 65,частная коллекция,,,,,2022,цветная фотография,https://monet.1vasiliadi.com/img/1600/w77a.webp,https://commons.wikimedia.org/wiki/File:Claude_monet_bateaux_dans_le_port_de_honfleur040433).jpg,https://www.wikidata.org/wiki/Q114711469,https://monet.1vasiliadi.com/#w77a
78,Портрет Ш. Ф. Лапьера,Portrait of Ch. F. Lapierre,Portrait de Ch. F. Lapierre,1893,,утрачена / местонахождение неизвестно,,,,,,нет,,,,https://monet.1vasiliadi.com/#w78
79,Дорога перед фермой Сен-Симеон зимой,The Road in Front of Saint-Simeon Farm in Winter,"Environs de Honfleur, neige",1867,81 × 100,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w79.webp,https://commons.wikimedia.org/wiki/File:1867_The_Road_in_front_of_Saint-Simeon_Farm_in_Winter.jpg,https://www.wikidata.org/wiki/Q29654799,https://monet.1vasiliadi.com/#w79
80,Дорога к ферме Сен-Симеон,Road to the Farm of Saint-Simeon,"La Route de la ferme Saint-Siméon, effet de neige",1867,56 × 81,музей,"Музей Фогга, Кембридж (Массачусетс)","Fogg Museum, Cambridge",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w80.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Road_toward_the_Farm_Saint-Sim%C3%A9on%2C_Honfleur%2C_1867.jpg,https://www.wikidata.org/wiki/Q70781190,https://monet.1vasiliadi.com/#w80
81,Дорога к ферме Сен-Симеон зимой,The Road to the Farm of Saint-Simeon in Winter,La Route de la ferme Saint-Siméon en hiver,1867,49 × 65,частная коллекция,,,,,2008,цветная фотография,https://monet.1vasiliadi.com/img/1600/w81.webp,https://commons.wikimedia.org/wiki/File:LA_ROUTE_DE_LA_FERME_SAINT-SIM%C3%89ON_EN_HIVER_(1867)_Claude_Monet_(W81).jpg,,https://monet.1vasiliadi.com/#w81
82,Заснеженная дорога в Онфлёре,The Snowy Road at Honfleur,"La Route sous la neige, à Honfleur",1867,75 × 100,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w82.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_82.png,,https://monet.1vasiliadi.com/#w82
83,Набережная Лувра,The Quai du Louvre,,1867,65 × 92,музей,Художественный музей Гааги,Kunstmuseum Den Haag,Нидерланды,Netherlands,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w83.webp,https://commons.wikimedia.org/wiki/File:Quai_du_Louvre_1867%2C_by_Claude_Monet.jpg,https://www.wikidata.org/wiki/Q24046880,https://monet.1vasiliadi.com/#w83
84,Сен-Жермен в Париже,Saint-Germain-l'Auxerrois,St. Germain l'Auxerrois Paris,1867,79 × 98,музей,"Старая национальная галерея, Берлин","Alte Nationalgalerie, Berlin",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w84.webp,https://commons.wikimedia.org/wiki/File:Monet%2C_Saint-Germain-l'Auxerrois_in_Paris%2C_1867%2C_Alte_Nationalgalerie%2C_Berlin_(40147039542).jpg,https://www.wikidata.org/wiki/Q18683944,https://monet.1vasiliadi.com/#w84
85,Сад инфанты,Garden of the Princess,Le Jardin de l'Infante,1867,91 × 62,музей,"Мемориальный художественный музей Аллена, Оберлин","Allen Memorial Art Museum, Oberlin",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w85.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Garten_der_Infantin.jpg,https://www.wikidata.org/wiki/Q28828034,https://monet.1vasiliadi.com/#w85
86,Бурное море,Stormy Seascape,"Marine, orage",1867,49 × 64,музей,"Институт искусств Кларка, Уильямстаун","Clark Art Institute, Williamstown",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w86.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_Seascape_-_Storm.JPG,https://www.wikidata.org/wiki/Q55647396,https://monet.1vasiliadi.com/#w86
87,Вход в порт Гавра,L'Entrée du port de Le Havre,L'Entrée du port du Havre,1867,50 × 61,музей,"Музей Нортона Саймона, Пасадина","Norton Simon Museum, Pasadena",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w87.webp,https://commons.wikimedia.org/wiki/File:'The_Entrance_to_the_Port_of_Le_Havre'_by_Monet%2C_Norton_Simon_Museum.JPG,https://www.wikidata.org/wiki/Q50807790,https://monet.1vasiliadi.com/#w87
87a,В порту Онфлёра,In the Port of Honfleur,Dans le port de Honfleur,1867,6.5 × 9,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w87a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_87a.png,,https://monet.1vasiliadi.com/#w87a
88,Мол в Гавре в непогоду,The Jetty of Le Havre in Rough Weather,La Jetée du Havre par mauvais temps,1867,50 × 61,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w88.webp,https://commons.wikimedia.org/wiki/File:Monet_w88.jpg,,https://monet.1vasiliadi.com/#w88
89,"Корабли, выходящие из гавани Гавра",Ships Leaving the Jetties of Le Havre,Navires sortant des jetées du Havre,1867–1868,50 × 61,утрачена / местонахождение неизвестно,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w89.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_89.png,,https://monet.1vasiliadi.com/#w89
90,Пляж в Сент-Адрессе,The Beach at Sainte-Adresse,La Plage de Sainte-Adresse,1867,59 × 80,частная коллекция,,,,,"Christie's, London, 1991",скан из каталога,https://monet.1vasiliadi.com/img/1600/w90.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_90.png,,https://monet.1vasiliadi.com/#w90
91,Регата в Сент-Адрессе,Regatta at Sainte-Adresse,Les Régates à Sainte-Adresse,1867,75.5 × 101.5,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w91.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_1867%2C_Regatta_at_Sainte-Adresse%2C_Metropolitan_Museum_of_Art.jpg,https://www.wikidata.org/wiki/Q734082,https://monet.1vasiliadi.com/#w91
92,Пляж в Сент-Адрессе,The Beach at Sainte-Adresse,La Plage de Sainte-Adresse,1867,75 × 101,музей,Чикагский институт искусств,Art Institute of Chicago,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w92.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Beach_at_Sainte-Adresse_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q3966658,https://monet.1vasiliadi.com/#w92
